iter	RMSE
0	557.1885442
1	553.5130625
2	549.855131
3	546.3107682
4	542.8760514
5	539.5938205
6	536.1155722
7	532.8247602
8	529.7053501
9	526.3770473
10	523.3411933
11	520.3028521
12	517.4031695
13	514.6468328
14	511.5980114
15	508.6645782
16	505.5215423
17	503.1424826
18	500.3753369
19	497.2942891
20	494.4084199
21	491.649073
22	488.7380215
23	485.9222135
24	483.3850432
25	480.5693351
26	477.8643624
27	475.0396181
28	472.9617461
29	470.4113787
30	467.8196921
31	465.1897076
32	462.934214
33	460.5229431
34	458.0744419
35	455.4770082
36	453.2823457
37	450.8499747
38	448.5426103
39	446.3019302
40	444.0025852
41	441.926597
42	439.8127915
43	437.6235048
44	435.4914649
45	433.9150989
46	431.8214105
47	429.6950299
48	427.5749062
49	425.6992064
50	423.627752
51	421.5732462
52	419.7435048
53	418.5266622
54	416.5710556
55	414.6223692
56	412.8239918
57	410.7915575
58	408.7764749
59	407.2359718
60	405.3511561
61	403.5265064
62	401.7990726
63	400.0025279
64	398.2358939
65	396.5467927
66	394.9362163
67	393.1441619
68	391.4489856
69	389.7187493
70	388.1612327
71	386.661075
72	385.2185003
73	383.5750001
74	382.1476677
75	380.6478793
76	379.2097092
77	377.7030481
78	376.2215526
79	374.8425387
80	373.4990888
81	372.1031203
82	370.8690351
83	369.5853399
84	368.2063206
85	366.7780328
86	365.4192407
87	364.0078385
88	362.7150235
89	361.5877555
90	360.2149507
91	358.914195
92	357.6827268
93	356.7469774
94	355.5858231
95	354.3990344
96	353.1560321
97	352.0380028
98	351.0512677
99	349.8877964
100	348.8568707
101	347.7808728
102	346.6327852
103	345.5210488
104	344.5394143
105	343.5259959
106	342.4670583
107	341.5335784
108	340.6315968
109	339.6980439
110	338.6947611
111	337.6551063
112	336.7055746
113	335.6978004
114	335.1044708
115	334.0868359
116	333.0981943
117	332.1779371
118	331.2703097
119	330.4639782
120	329.6706469
121	328.898226
122	328.0828548
123	327.4234382
124	326.5723222
125	325.8897787
126	325.1162698
127	324.3107174
128	323.7466579
129	322.9626498
130	322.1597387
131	321.4623826
132	320.7080604
133	319.8940906
134	319.233884
135	318.4672775
136	317.7006052
137	317.0407545
138	316.2824969
139	315.6028759
140	314.8057302
141	314.2272381
142	313.5541162
143	312.8449543
144	312.2297786
145	311.5936904
146	310.9893845
147	310.3269523
148	309.6784494
149	309.0337439
150	308.3469974
151	307.8332954
152	307.2848351
153	306.5818203
154	306.0543123
155	305.4584645
156	304.857755
157	304.3021614
158	303.8193952
159	303.3252645
160	302.9855997
161	302.3952728
162	302.0007814
163	301.5583928
164	301.029494
165	300.5657314
166	300.2450056
167	299.7101818
168	299.2332003
169	298.7765007
170	298.2174925
171	297.6901415
172	297.2969808
173	296.7641905
174	296.2520252
175	295.8112886
176	295.5215068
177	294.9326533
178	294.4187688
179	294.0407806
180	293.6416149
181	293.3032333
182	293.0115015
183	292.5085972
184	292.184151
185	291.8135723
186	291.3235812
187	290.8621958
188	290.4553795
189	290.0179635
190	289.7036302
191	289.231553
192	288.900727
193	288.5083961
194	288.0677811
195	287.8554584
196	287.4782599
197	287.1381043
198	286.8283175
199	286.4481702
200	286.1105196
201	285.7578701
202	285.4998168
203	285.2142086
204	284.8680167
205	284.5249829
206	284.092685
207	283.8602419
208	283.5773596
209	283.1519364
210	282.7953985
211	282.5122138
212	282.1903723
213	281.815579
214	281.4769997
215	281.1200768
216	280.8018796
217	280.5837113
218	280.1497829
219	279.7859115
220	279.4589245
221	279.1380498
222	278.7510977
223	278.3687362
224	278.0091356
225	277.6861016
226	277.3711377
227	277.0053757
228	276.6894121
229	276.4017027
230	276.1795503
231	275.9049723
232	275.6596714
233	275.4439031
234	275.1205627
235	274.847635
236	274.575319
237	274.4163602
238	274.2793162
239	273.9957065
240	273.7580916
241	273.3996252
242	273.2057693
243	272.9373667
244	272.7514132
245	272.424787
246	272.1845521
247	272.0230138
248	271.8032016
249	271.5333912
250	271.3457839
251	271.0663204
252	270.8797839
253	270.6361942
254	270.4135828
255	270.2473274
256	270.0036098
257	269.7624228
258	269.5243689
259	269.2314704
260	268.9723618
261	268.7978441
262	268.5918748
263	268.377577
264	268.1282366
265	267.9192383
266	267.7190406
267	267.5732949
268	267.4516078
269	267.139933
270	266.9602431
271	266.7241382
272	266.5149272
273	266.300884
274	266.1307889
275	265.951522
276	265.7608711
277	265.5411475
278	265.244623
279	265.0953456
280	264.8891223
281	264.5889144
282	264.3447719
283	264.1055303
284	263.9741487
285	263.7703856
286	263.5564806
287	263.469875
288	263.249174
289	263.0660735
290	262.8385713
291	262.6320628
292	262.3960985
293	262.1941721
294	262.0327647
295	261.9124366
296	261.698193
297	261.505961
298	261.3138066
299	261.1120358
300	260.9074803
301	260.5935396
302	260.4459961
303	260.3107052
304	260.1188253
305	259.8700818
306	259.6554836
307	259.5197285
308	259.4059815
309	259.2393025
310	259.0056264
311	258.80648
312	258.6549771
313	258.5059971
314	258.3761926
315	258.1827354
316	257.9733401
317	257.8162408
318	257.7153388
319	257.6085531
320	257.4250262
321	257.2041788
322	257.0704224
323	256.8880153
324	256.7045339
325	256.5560889
326	256.4103943
327	256.2990614
328	256.1299508
329	256.0404631
330	255.8109995
331	255.7175152
332	255.5161226
333	255.3286886
334	255.1772251
335	255.0401082
336	254.8570464
337	254.7411717
338	254.6158925
339	254.4897687
340	254.4025008
341	254.2971873
342	254.2523291
343	254.1343183
344	254.0277219
345	253.9273855
346	253.7606014
347	253.6236876
348	253.4508697
349	253.302756
350	253.2158236
351	253.0650764
352	252.8877212
353	252.741454
354	252.5794887
355	252.476923
356	252.3641187
357	252.2262262
358	252.1035118
359	251.9956404
360	251.9030677
361	251.759148
362	251.5635774
363	251.3797307
364	251.2133044
365	251.0147945
366	250.9844606
367	250.8103696
368	250.7154708
369	250.5572474
370	250.4130881
371	250.2715249
372	250.1272091
373	249.9350301
374	249.8062234
375	249.635598
376	249.5386383
377	249.3931849
378	249.2503809
379	249.1687679
380	249.0307754
381	248.8863315
382	248.7455383
383	248.6507951
384	248.5633579
385	248.4002743
386	248.2846425
387	248.1783421
388	248.1349605
389	248.0497306
390	248.0065998
391	247.918608
392	247.8101331
393	247.7169415
394	247.5859674
395	247.4208325
396	247.3685892
397	247.2499323
398	247.1452023
399	247.0189499
400	246.8375641
401	246.7427427
402	246.6473025
403	246.5002798
404	246.4172719
405	246.2913101
406	246.1214443
407	246.0470567
408	245.9204922
409	245.8212166
410	245.6828077
411	245.5496242
412	245.426474
413	245.3116468
414	245.185248
415	245.0751123
416	244.9497164
417	244.8439204
418	244.7792455
419	244.5853859
420	244.4769446
421	244.3460616
422	244.2213415
423	244.076456
424	243.9385215
425	243.8492555
426	243.7421243
427	243.6669779
428	243.5912678
429	243.5133806
430	243.406664
431	243.2720485
432	243.1987241
433	243.0764132
434	242.9556797
435	242.8189632
436	242.7055449
437	242.5786066
438	242.4694527
439	242.3316745
440	242.1892452
441	242.0555044
442	241.9087923
443	241.83188
444	241.721247
445	241.6298189
446	241.5309172
447	241.4265009
448	241.3235592
449	241.2484836
450	241.1477428
451	241.0202513
452	240.893039
453	240.7598493
454	240.6406986
455	240.5339556
456	240.4152079
457	240.378815
458	240.2833915
459	240.1762195
460	240.1053724
461	239.9671814
462	239.8773282
463	239.7651137
464	239.6362373
465	239.5142851
466	239.4210234
467	239.3264441
468	239.2311414
469	239.1689432
470	239.0974762
471	239.0258109
472	238.9546774
473	238.8567037
474	238.7303511
475	238.6338562
476	238.5705118
477	238.4695317
478	238.4012584
479	238.3076952
480	238.2562488
481	238.1187088
482	238.0227341
483	237.9253341
484	237.7873817
485	237.7234742
486	237.6249263
487	237.5157353
488	237.4675749
489	237.3628863
490	237.2649762
491	237.1284139
492	236.9954194
493	236.8820607
494	236.8045317
495	236.7112817
496	236.6143945
497	236.5505133
498	236.4771606
499	236.3913141
500	236.2910515
501	236.1949449
502	236.0768376
503	236.004713
504	235.929404
505	235.8664697
506	235.7948958
507	235.6892698
508	235.5776648
509	235.531236
510	235.414599
511	235.369859
512	235.2967705
513	235.2223564
514	235.1058079
515	235.0243078
516	234.9200341
517	234.811635
518	234.7276829
519	234.6373138
520	234.5720533
521	234.4259531
522	234.3236922
523	234.2420304
524	234.1236144
525	234.0555751
526	233.9844031
527	233.9052077
528	233.8045797
529	233.7502716
530	233.6320445
531	233.5674943
532	233.468305
533	233.3600501
534	233.2554473
535	233.1993141
536	233.1169243
537	233.080854
538	233.0191036
539	232.9711576
540	232.8735319
541	232.7950579
542	232.701226
543	232.5755569
544	232.5158006
545	232.4101989
546	232.37884
547	232.3065488
548	232.2471546
549	232.1421373
550	232.0977039
551	232.010339
552	231.9562963
553	231.8278165
554	231.7125981
555	231.6280559
556	231.5344667
557	231.4391417
558	231.4026805
559	231.362784
560	231.2483181
561	231.1813134
562	231.1194079
563	231.0228883
564	230.9382817
565	230.8728502
566	230.7587141
567	230.6731464
568	230.6029838
569	230.5083578
570	230.4145569
571	230.3267038
572	230.2379141
573	230.1679611
574	230.0702305
575	229.9940255
576	229.8804919
577	229.8006999
578	229.6932091
579	229.594509
580	229.5213341
581	229.4135928
582	229.3222814
583	229.2494241
584	229.1693775
585	229.1400099
586	229.0145613
587	228.9433512
588	228.8261653
589	228.7820276
590	228.6761888
591	228.5909061
592	228.5384827
593	228.456996
594	228.369499
595	228.3339128
596	228.2573976
597	228.1968734
598	228.11371
599	228.0617612
600	227.9966058
601	227.9161437
602	227.8838867
603	227.7932752
604	227.6960248
605	227.6223099
606	227.5401378
607	227.4765104
608	227.4076952
609	227.304704
610	227.2511868
611	227.153776
612	227.0445223
613	226.9615426
614	226.8850736
615	226.8551216
616	226.8041649
617	226.7395579
618	226.6518529
619	226.5821548
620	226.5286146
621	226.4540208
622	226.4055906
623	226.2764968
624	226.1986547
625	226.1846967
626	226.0992398
627	226.0297156
628	225.9251531
629	225.8336367
630	225.7822306
631	225.7268279
632	225.6993757
633	225.6141554
634	225.5724522
635	225.4657308
636	225.3856383
637	225.3232378
638	225.2458491
639	225.1700592
640	225.1060739
641	225.0334442
642	224.9735632
643	224.905169
644	224.8692164
645	224.7981975
646	224.7440207
647	224.6901754
648	224.6172284
649	224.5436672
650	224.4832339
651	224.3987563
652	224.3276869
653	224.3010865
654	224.2563838
655	224.1850139
656	224.1508298
657	224.0799179
658	224.0049083
659	223.9596775
660	223.8914322
661	223.8054479
662	223.753262
663	223.6815
664	223.577417
665	223.522225
666	223.4328742
667	223.3497264
668	223.2699549
669	223.2163814
670	223.1717537
671	223.0965019
672	223.0039636
673	222.954555
674	222.8663997
675	222.7958526
676	222.7305086
677	222.6672188
678	222.6006755
679	222.5480362
680	222.5106917
681	222.4192379
682	222.3467633
683	222.2825345
684	222.1757229
685	222.0973717
686	222.0547469
687	221.9662911
688	221.902547
689	221.8549083
690	221.7835086
691	221.7192446
692	221.6642098
693	221.6162591
694	221.5421989
695	221.4658474
696	221.3780674
697	221.3236792
698	221.2568387
699	221.1765192
700	221.0960748
701	221.0389598
702	220.9630749
703	220.9067944
704	220.8270633
705	220.7658782
706	220.7188664
707	220.6617019
708	220.6018789
709	220.5133362
710	220.4419206
711	220.3982582
712	220.3402126
713	220.2780109
714	220.2062422
715	220.1463771
716	220.0926437
717	220.0494488
718	219.9846081
719	219.9439934
720	219.8874262
721	219.8150598
722	219.7579393
723	219.6870391
724	219.6262411
725	219.5574585
726	219.4938857
727	219.40737
728	219.3187636
729	219.298657
730	219.1979866
731	219.1516777
732	219.1126798
733	219.0333277
734	218.9997702
735	218.9321973
736	218.8706671
737	218.7816616
738	218.7407609
739	218.7009562
740	218.6352689
741	218.5819777
742	218.5006164
743	218.4514246
744	218.37895
745	218.2950204
746	218.2188481
747	218.167058
748	218.1117431
749	218.0374396
750	217.9853795
751	217.9239739
752	217.8470594
753	217.7994883
754	217.7436839
755	217.6957827
756	217.6405468
757	217.5797945
758	217.5040641
759	217.4624191
760	217.4126857
761	217.3509109
762	217.311198
763	217.2361426
764	217.1959257
765	217.12367
766	217.0582489
767	216.980491
768	216.9105831
769	216.8590743
770	216.8182566
771	216.7601807
772	216.7176656
773	216.667127
774	216.6142825
775	216.5381961
776	216.4774272
777	216.4085083
778	216.3695253
779	216.3018679
780	216.2569467
781	216.2110069
782	216.1472202
783	216.1102785
784	216.0562459
785	215.972544
786	215.9317028
787	215.8804455
788	215.8242955
789	215.7649242
790	215.6963172
791	215.6382555
792	215.5913578
793	215.5176805
794	215.4565369
795	215.3778549
796	215.3198009
797	215.2402591
798	215.1897427
799	215.1155974
800	215.0712874
801	215.0164962
802	214.9612054
803	214.8991146
804	214.8657601
805	214.7917896
806	214.7353209
807	214.6859547
808	214.6247518
809	214.5793237
810	214.5117094
811	214.4407836
812	214.3823752
813	214.3461528
814	214.3090325
815	214.2357886
816	214.1958294
817	214.1266808
818	214.0706928
819	214.0147306
820	213.9869327
821	213.9281077
822	213.8687156
823	213.8352703
824	213.8157218
825	213.7619072
826	213.7236502
827	213.6699219
828	213.6337
829	213.5769162
830	213.5373559
831	213.4792589
832	213.4412099
833	213.3710497
834	213.308944
835	213.2517815
836	213.1798548
837	213.1112587
838	213.048035
839	213.0063152
840	212.9615732
841	212.9123258
842	212.8524849
843	212.8200853
844	212.7525615
845	212.6987186
846	212.6517642
847	212.6108406
848	212.5567764
849	212.4961005
850	212.4335363
851	212.3926732
852	212.3057562
853	212.2330292
854	212.191408
855	212.1427981
856	212.1150029
857	212.0550688
858	212.0174261
859	211.9643862
860	211.9131628
861	211.8453018
862	211.809723
863	211.7641654
864	211.7255996
865	211.6774442
866	211.6508939
867	211.5935182
868	211.5607776
869	211.5358005
870	211.4671476
871	211.4408302
872	211.4175663
873	211.3497603
874	211.2903783
875	211.2591777
876	211.1997265
877	211.168168
878	211.1046829
879	211.06433
880	211.0397326
881	210.9773103
882	210.9301289
883	210.8692104
884	210.8504749
885	210.8161569
886	210.7641032
887	210.7181203
888	210.6799586
889	210.6158973
890	210.5817431
891	210.5186038
892	210.4816902
893	210.4359085
894	210.375302
895	210.3539434
896	210.2877596
897	210.2249429
898	210.1677266
899	210.1195449
900	210.0922703
901	210.0461327
902	209.9954414
903	209.9565558
904	209.8933285
905	209.8510367
906	209.8083363
907	209.7568343
908	209.7239337
909	209.6759933
910	209.648815
911	209.6153073
912	209.5618347
913	209.5100253
914	209.459373
915	209.4004284
916	209.342127
917	209.3089468
918	209.2730539
919	209.2464834
920	209.1917211
921	209.1421265
922	209.0821524
923	209.0397216
924	208.9785528
925	208.9247722
926	208.8828181
927	208.8367931
928	208.803054
929	208.7279505
930	208.6789136
931	208.6266525
932	208.5649213
933	208.5317846
934	208.4945925
935	208.4586954
936	208.4176657
937	208.3645106
938	208.3220769
939	208.2661551
940	208.2322844
941	208.180877
942	208.1470232
943	208.0870912
944	208.0615116
945	208.0139829
946	207.9866282
947	207.9635215
948	207.8983779
949	207.8412028
950	207.8021739
951	207.7422925
952	207.7061276
953	207.67656
954	207.6402215
955	207.6078971
956	207.5722563
957	207.5227961
958	207.4748598
959	207.4212286
960	207.4096642
961	207.3471075
962	207.2967256
963	207.2676019
964	207.2283185
965	207.1834045
966	207.1287564
967	207.0574639
968	207.0196559
969	206.9583772
970	206.9180581
971	206.8972173
972	206.8699062
973	206.8253382
974	206.8041704
975	206.7703256
976	206.7017968
977	206.6539611
978	206.6191638
979	206.5743265
980	206.5223533
981	206.4712884
982	206.4382975
983	206.3916702
984	206.3572716
985	206.3122922
986	206.2860902
987	206.2190301
988	206.1690917
989	206.1438758
990	206.0785925
991	206.0470773
992	205.9980825
993	205.9483471
994	205.8946527
995	205.8505215
996	205.8014298
997	205.7639705
998	205.7270996
999	205.676913
