iter	Passed	Remaining
0	1	1606
1	2	1103
2	2	884
3	3	766
4	3	700
5	3	656
6	4	621
7	4	592
8	5	570
9	5	561
10	6	548
11	6	536
12	6	524
13	7	514
14	7	504
15	8	496
16	8	489
17	8	485
18	9	481
19	9	477
20	10	473
21	10	470
22	10	466
23	11	466
24	12	472
25	12	475
26	13	479
27	13	480
28	14	481
29	14	480
30	15	479
31	15	480
32	16	480
33	16	480
34	17	478
35	17	477
36	18	475
37	18	475
38	19	472
39	19	471
40	20	474
41	20	473
42	21	473
43	21	473
44	22	473
45	22	472
46	23	469
47	23	469
48	24	467
49	24	468
50	25	466
51	25	465
52	25	463
53	26	462
54	26	463
55	27	462
56	27	462
57	28	465
58	29	465
59	29	466
60	30	464
61	30	464
62	31	463
63	31	462
64	32	461
65	32	459
66	32	457
67	33	455
68	33	453
69	33	451
70	34	449
71	34	447
72	35	445
73	35	444
74	36	444
75	36	443
76	36	442
77	37	441
78	37	439
79	38	438
80	38	437
81	39	436
82	39	435
83	39	434
84	40	433
85	40	433
86	41	432
87	41	431
88	42	430
89	42	430
90	42	429
91	43	428
92	43	427
93	44	426
94	44	425
95	45	424
96	45	422
97	45	421
98	46	419
99	46	418
100	46	417
101	47	416
102	47	414
103	48	413
104	48	412
105	48	411
106	49	411
107	49	411
108	50	410
109	50	409
110	50	408
111	51	407
112	51	406
113	52	405
114	52	403
115	52	402
116	53	401
117	53	400
118	54	399
119	54	398
120	54	398
121	55	397
122	55	396
123	55	395
124	56	394
125	56	393
126	57	393
127	57	392
128	57	391
129	58	390
130	58	389
131	59	389
132	59	388
133	59	387
134	60	386
135	60	386
136	61	385
137	61	384
138	61	383
139	62	382
140	62	381
141	63	381
142	63	380
143	63	379
144	64	378
145	64	377
146	65	377
147	65	377
148	65	376
149	66	376
150	66	375
151	67	374
152	67	373
153	67	373
154	68	372
155	68	371
156	69	370
157	69	370
158	69	369
159	70	368
160	70	367
161	70	366
162	71	365
163	71	365
164	72	364
165	72	364
166	72	363
167	73	362
168	73	361
169	73	361
170	74	360
171	74	359
172	75	358
173	75	358
174	75	357
175	76	357
176	76	357
177	77	356
178	77	356
179	78	356
180	78	356
181	79	356
182	79	356
183	80	356
184	80	356
185	81	356
186	82	356
187	82	357
188	83	357
189	83	357
190	85	360
191	85	361
192	86	361
193	87	361
194	87	361
195	88	361
196	88	361
197	89	361
198	89	361
199	90	361
200	91	361
201	91	361
202	92	361
203	92	361
204	93	361
205	93	360
206	94	361
207	94	361
208	95	360
209	95	360
210	96	359
211	96	359
212	97	359
213	97	358
214	98	358
215	98	358
216	99	357
217	99	357
218	100	356
219	100	356
220	101	356
221	101	355
222	102	355
223	102	355
224	103	354
225	103	354
226	104	354
227	104	353
228	104	353
229	105	352
230	105	352
231	106	351
232	106	351
233	107	350
234	107	350
235	108	349
236	108	349
237	109	349
238	109	348
239	109	347
240	110	347
241	110	346
242	111	346
243	111	345
244	112	345
245	112	344
246	112	344
247	113	343
248	113	343
249	114	342
250	114	341
251	115	341
252	115	341
253	115	340
254	116	340
255	116	339
256	117	340
257	118	339
258	118	339
259	118	338
260	119	338
261	119	337
262	120	337
263	120	336
264	121	336
265	121	335
266	122	335
267	122	334
268	122	333
269	123	333
270	123	333
271	124	332
272	124	332
273	125	331
274	125	331
275	126	331
276	126	330
277	127	330
278	127	330
279	128	329
280	128	329
281	129	329
282	129	329
283	130	329
284	131	328
285	131	328
286	132	328
287	132	327
288	132	327
289	133	326
290	133	325
291	134	325
292	134	324
293	135	324
294	135	323
295	135	323
296	136	322
297	136	321
298	136	321
299	137	320
300	137	319
301	138	319
302	138	318
303	139	318
304	139	317
305	139	317
306	140	316
307	140	315
308	140	314
309	141	314
310	141	313
311	141	312
312	142	312
313	142	311
314	143	311
315	143	310
316	143	309
317	144	309
318	144	308
319	145	308
320	145	307
321	145	307
322	146	306
323	146	305
324	147	305
325	147	304
326	147	304
327	148	303
328	148	303
329	148	302
330	149	301
331	149	301
332	150	300
333	150	300
334	150	299
335	151	298
336	151	298
337	151	297
338	152	296
339	152	296
340	153	296
341	153	295
342	153	294
343	154	294
344	154	293
345	154	292
346	155	292
347	155	291
348	156	291
349	156	290
350	156	289
351	157	289
352	157	288
353	157	287
354	158	287
355	158	286
356	158	286
357	159	285
358	159	285
359	160	284
360	160	283
361	160	283
362	161	283
363	161	282
364	162	282
365	162	281
366	162	281
367	163	280
368	163	279
369	164	279
370	164	278
371	164	278
372	165	277
373	165	276
374	165	276
375	166	275
376	166	275
377	166	274
378	167	274
379	167	273
380	168	273
381	168	273
382	169	272
383	169	272
384	169	271
385	170	270
386	170	270
387	171	269
388	171	269
389	171	268
390	172	268
391	172	267
392	172	267
393	173	266
394	173	266
395	174	265
396	174	265
397	175	264
