name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"سطيف, الجزائر",2023-03-01T00:00:00,2.1,-3.6,0.1,86.56,0,0,,0,0,36.4,29.4,270,1013,89,9.9,,,,,Partially cloudy,partly-cloudy-night,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-01T01:00:00,1.2,-4.5,1,98.7,0.218,100,"rain,snow",0,0,36.4,25.9,269,1014,84.4,8,,,,,"Snow, Rain, Partially cloudy",rain,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-01T02:00:00,1.1,-4.9,1.1,99.54,0,0,,0,0,36.7,29.4,279,1013,88.9,8,,,,,Partially cloudy,partly-cloudy-night,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-01T03:00:00,1.1,-3.6,1.1,99.54,0,0,,0,0,33.5,18.5,269,1013,88.9,8,,,,,Partially cloudy,partly-cloudy-night,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-01T04:00:00,1,-4.1,1.1,100,0,0,,0,0,29.9,20.6,270,1013,75.3,8,,,,,Partially cloudy,partly-cloudy-night,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-01T05:00:00,1.1,-2.6,1.1,99.84,0,0,,0,0,28.8,13.1,279,1013,88.9,8,,,,,Partially cloudy,partly-cloudy-night,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-01T06:00:00,1.2,-2.3,1.1,99.56,0,0,,0,0,26.3,11.5,280,1013,88.9,8,,,,,Partially cloudy,partly-cloudy-night,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-01T07:00:00,0.9,-2.1,0.9,99.67,0.791,100,"rain,snow",0,0,25.2,9.5,259,1014,84.4,6.1,,,,,"Snow, Rain, Partially cloudy",rain,"DAAS,60444099999,60445099999,60402099999,60351099999,DAAE"
"سطيف, الجزائر",2023-03-01T08:00:00,1.2,-1.8,1.1,99.5,0,0,,0,0,44.6,9.6,270,1014,88.9,7,,,,,Partially cloudy,partly-cloudy-day,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-01T09:00:00,2.2,-2.8,2.1,99.59,0,0,,0,0,29.9,22.1,280,1015,50.8,6,,,,,Partially cloudy,partly-cloudy-day,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-01T10:00:00,3,-1.2,2.1,93.9,0,0,,0,0,31,18.2,289,1015.1,84.4,6.1,,,,,Partially cloudy,partly-cloudy-day,"DAAS,60444099999,60445099999,60402099999,60351099999,DAAE"
"سطيف, الجزائر",2023-03-01T11:00:00,5.1,1.4,3.1,86.7,0,0,,0,0,33.1,18.4,290,1015,88.6,7,,,,,Partially cloudy,partly-cloudy-day,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-01T12:00:00,5.1,1.5,1.1,75.2,0,0,,0,0,33.1,18.4,290,1016,88.1,8,,,,,Partially cloudy,partly-cloudy-day,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-01T13:00:00,4.2,1.4,1.9,84.94,0.479,100,rain,0,0,25.2,11.4,348,1015.1,84,7,,,,,"Rain, Partially cloudy",rain,"DAAS,60444099999,60445099999,60402099999,60351099999,DAAE"
"سطيف, الجزائر",2023-03-01T14:00:00,5.1,2.3,1.1,75.07,0,0,,0,0,26.3,13.1,329,1015,88.1,7,,,,,Partially cloudy,partly-cloudy-day,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-01T15:00:00,5.2,3,1.1,74.91,0,0,,0,0,24.8,9.4,319,1014,50,8,,,,,Partially cloudy,partly-cloudy-day,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-01T16:00:00,5.9,4.3,-1.8,57.6,0,0,,0,0,23.4,7.7,319,1014.1,55.3,8,,,,,Partially cloudy,partly-cloudy-day,"DAAS,60444099999,60445099999,60402099999,60351099999,DAAE"
"سطيف, الجزائر",2023-03-01T17:00:00,6.1,4.2,0.1,65.17,0,0,,0,0,20.9,9.4,309,1014,50,8,,,,,Partially cloudy,partly-cloudy-day,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-01T18:00:00,5.1,3.4,-0.9,65.15,0,0,,0,0,22,7.6,330,1014,50,8,,,,,Partially cloudy,partly-cloudy-day,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-01T19:00:00,4.8,3.8,-0.8,66.66,0,0,,0,0,5.8,5.4,260,1015,50.3,8,,,,,Partially cloudy,partly-cloudy-night,"DAAS,60444099999,60445099999,60402099999,60351099999,DAAE"
"سطيف, الجزائر",2023-03-01T20:00:00,3.1,0.2,0.1,80.73,0,0,,0,0,6.5,11.1,268,1015,50,8,,,,,Partially cloudy,partly-cloudy-night,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-01T21:00:00,2.1,0.6,0.1,86.53,0,0,,0,0,4.7,5.4,200,1016,49.5,8,,,,,Partially cloudy,partly-cloudy-night,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-01T22:00:00,2.9,1.5,2,93.9,0,0,,0,0,4,5.4,62,1016,49.8,8.1,,,,,Partially cloudy,partly-cloudy-night,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-01T23:00:00,2.1,2.1,2.1,99.85,0,0,,0,0,5.4,1.9,211,1015,50,8,,,,,Partially cloudy,partly-cloudy-night,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-02T00:00:00,1.1,-0.5,1.1,99.69,0,0,,0,0,6.1,5.5,350,1015,50.3,8,,,,,Partially cloudy,partly-cloudy-night,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-02T01:00:00,0.2,0.2,0.1,99.65,0.195,100,"rain,snow",0,0,1.8,1.9,205,1015,50.2,8.1,,,,,"Snow, Rain, Partially cloudy",rain,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-02T02:00:00,0.1,0.1,0.1,99.62,0,0,,0,0,2.9,2,191,1014,50,8,,,,,Partially cloudy,partly-cloudy-night,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-02T03:00:00,-0.8,-0.8,-0.9,99.53,0,0,,0,0,3.6,3.8,195,1014,50.3,8,,,,,Partially cloudy,partly-cloudy-night,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-02T04:00:00,-0.7,-2.6,-0.8,99.61,0,0,,0,0,4,5.4,27,1013,54.8,8.1,,,,,Partially cloudy,partly-cloudy-night,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-02T05:00:00,-0.8,-0.8,-0.9,99.62,0,0,,0,0,6.8,3.7,230,1013,50,8,,,,,Partially cloudy,partly-cloudy-night,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-02T06:00:00,-0.9,-0.9,-0.9,99.62,0,0,,0,0,7.9,3.7,219,1013,49.8,8,,,,,Partially cloudy,partly-cloudy-night,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-02T07:00:00,-1.9,-1.9,-2,99.61,0,0,,0,0,6.5,3.8,199,1013,55.2,8.1,,,,,Partially cloudy,partly-cloudy-night,"DAAS,60444099999,60445099999,60402099999,60351099999,DAAE"
"سطيف, الجزائر",2023-03-02T08:00:00,0.1,0.1,0.1,99.53,0,0,,0,0,6.8,1.9,185,1013,50.5,7.1,,,,,Partially cloudy,partly-cloudy-day,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-02T09:00:00,1.2,-0.5,0.1,92.75,0,0,,0,0,11.2,5.5,28,1014,88.9,7.1,,,,,Partially cloudy,partly-cloudy-day,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-02T10:00:00,2.9,-1.1,0.8,86.27,0,0,,0,0,24.1,16.5,250,1014,88.5,7.1,,,,,Partially cloudy,partly-cloudy-day,"DAAS,60444099999,60445099999,60402099999,60351099999,DAAE"
"سطيف, الجزائر",2023-03-02T11:00:00,4.2,-0.2,2,85.86,0,0,,0,0,45.7,22.1,250,1014,88.1,7.1,,,,,Partially cloudy,partly-cloudy-day,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-02T12:00:00,5.2,0.4,1.1,74.71,0,0,,0,0,51.1,29.2,260,1014,88.1,7.1,,,,,Partially cloudy,partly-cloudy-day,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-02T13:00:00,6.9,2.8,-0.1,60.9,0,0,,0,0,49.3,27.6,240,1013,83.7,8,,,,,Partially cloudy,partly-cloudy-day,"DAAS,60444099999,60445099999,60402099999,60351099999,DAAE"
"سطيف, الجزائر",2023-03-02T14:00:00,8.1,3.9,-0.9,52.81,0,0,,0,0,49.3,33.1,240,1012,88.1,8,,,,,Partially cloudy,partly-cloudy-day,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
"سطيف, الجزائر",2023-03-02T15:00:00,4.2,0.8,-0.9,69.65,0,0,,0,0,50,14.8,300,1013,88.4,8,,,,,Partially cloudy,partly-cloudy-day,"DAAS,60445099999,60402099999,60351099999,DAAV,DAAE"
