,date,temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windgust,winddir,windspeed,cloudcover,conditions,icon
0,2023-03-01T00:00:00,2.1,-3.6,0.1,86.56,0.0,0,0,0.0,36.4,270.0,29.4,89.0,Partially cloudy,partly-cloudy-night
1,2023-03-01T01:00:00,1.2,-4.5,1.0,98.7,0.218,100,0,0.0,36.4,269.0,25.9,84.4,"Snow, Rain, Partially cloudy",rain
2,2023-03-01T02:00:00,1.1,-4.9,1.1,99.54,0.0,0,0,0.0,36.7,279.0,29.4,88.9,Partially cloudy,partly-cloudy-night
3,2023-03-01T03:00:00,1.1,-3.6,1.1,99.54,0.0,0,0,0.0,33.5,269.0,18.5,88.9,Partially cloudy,partly-cloudy-night
4,2023-03-01T04:00:00,1.0,-4.1,1.1,100.0,0.0,0,0,0.0,29.9,270.0,20.6,75.3,Partially cloudy,partly-cloudy-night
5,2023-03-01T05:00:00,1.1,-2.6,1.1,99.84,0.0,0,0,0.0,28.8,279.0,13.1,88.9,Partially cloudy,partly-cloudy-night
6,2023-03-01T06:00:00,1.2,-2.3,1.1,99.56,0.0,0,0,0.0,26.3,280.0,11.5,88.9,Partially cloudy,partly-cloudy-night
7,2023-03-01T07:00:00,0.9,-2.1,0.9,99.67,0.791,100,0,0.0,25.2,259.0,9.5,84.4,"Snow, Rain, Partially cloudy",rain
8,2023-03-01T08:00:00,1.2,-1.8,1.1,99.5,0.0,0,0,0.0,44.6,270.0,9.6,88.9,Partially cloudy,partly-cloudy-day
9,2023-03-01T09:00:00,2.2,-2.8,2.1,99.59,0.0,0,0,0.0,29.9,280.0,22.1,50.8,Partially cloudy,partly-cloudy-day
10,2023-03-01T10:00:00,3.0,-1.2,2.1,93.9,0.0,0,0,0.0,31.0,289.0,18.2,84.4,Partially cloudy,partly-cloudy-day
11,2023-03-01T11:00:00,5.1,1.4,3.1,86.7,0.0,0,0,0.0,33.1,290.0,18.4,88.6,Partially cloudy,partly-cloudy-day
12,2023-03-01T12:00:00,5.1,1.5,1.1,75.2,0.0,0,0,0.0,33.1,290.0,18.4,88.1,Partially cloudy,partly-cloudy-day
13,2023-03-01T13:00:00,4.2,1.4,1.9,84.94,0.479,100,0,0.0,25.2,348.0,11.4,84.0,"Rain, Partially cloudy",rain
14,2023-03-01T14:00:00,5.1,2.3,1.1,75.07,0.0,0,0,0.0,26.3,329.0,13.1,88.1,Partially cloudy,partly-cloudy-day
15,2023-03-01T15:00:00,5.2,3.0,1.1,74.91,0.0,0,0,0.0,24.8,319.0,9.4,50.0,Partially cloudy,partly-cloudy-day
16,2023-03-01T16:00:00,5.9,4.3,-1.8,57.6,0.0,0,0,0.0,23.4,319.0,7.7,55.3,Partially cloudy,partly-cloudy-day
17,2023-03-01T17:00:00,6.1,4.2,0.1,65.17,0.0,0,0,0.0,20.9,309.0,9.4,50.0,Partially cloudy,partly-cloudy-day
18,2023-03-01T18:00:00,5.1,3.4,-0.9,65.15,0.0,0,0,0.0,22.0,330.0,7.6,50.0,Partially cloudy,partly-cloudy-day
19,2023-03-01T19:00:00,4.8,3.8,-0.8,66.66,0.0,0,0,0.0,5.8,260.0,5.4,50.3,Partially cloudy,partly-cloudy-night
20,2023-03-01T20:00:00,3.1,0.2,0.1,80.73,0.0,0,0,0.0,6.5,268.0,11.1,50.0,Partially cloudy,partly-cloudy-night
21,2023-03-01T21:00:00,2.1,0.6,0.1,86.53,0.0,0,0,0.0,4.7,200.0,5.4,49.5,Partially cloudy,partly-cloudy-night
22,2023-03-01T22:00:00,2.9,1.5,2.0,93.9,0.0,0,0,0.0,4.0,62.0,5.4,49.8,Partially cloudy,partly-cloudy-night
23,2023-03-01T23:00:00,2.1,2.1,2.1,99.85,0.0,0,0,0.0,5.4,211.0,1.9,50.0,Partially cloudy,partly-cloudy-night
24,2023-03-02T00:00:00,1.1,-0.5,1.1,99.69,0.0,0,0,0.0,6.1,350.0,5.5,50.3,Partially cloudy,partly-cloudy-night
25,2023-03-02T01:00:00,0.2,0.2,0.1,99.65,0.195,100,0,0.0,1.8,205.0,1.9,50.2,"Snow, Rain, Partially cloudy",rain
26,2023-03-02T02:00:00,0.1,0.1,0.1,99.62,0.0,0,0,0.0,2.9,191.0,2.0,50.0,Partially cloudy,partly-cloudy-night
27,2023-03-02T03:00:00,-0.8,-0.8,-0.9,99.53,0.0,0,0,0.0,3.6,195.0,3.8,50.3,Partially cloudy,partly-cloudy-night
28,2023-03-02T04:00:00,-0.7,-2.6,-0.8,99.61,0.0,0,0,0.0,4.0,27.0,5.4,54.8,Partially cloudy,partly-cloudy-night
29,2023-03-02T05:00:00,-0.8,-0.8,-0.9,99.62,0.0,0,0,0.0,6.8,230.0,3.7,50.0,Partially cloudy,partly-cloudy-night
30,2023-03-02T06:00:00,-0.9,-0.9,-0.9,99.62,0.0,0,0,0.0,7.9,219.0,3.7,49.8,Partially cloudy,partly-cloudy-night
31,2023-03-02T07:00:00,-1.9,-1.9,-2.0,99.61,0.0,0,0,0.0,6.5,199.0,3.8,55.2,Partially cloudy,partly-cloudy-night
32,2023-03-02T08:00:00,0.1,0.1,0.1,99.53,0.0,0,0,0.0,6.8,185.0,1.9,50.5,Partially cloudy,partly-cloudy-day
33,2023-03-02T09:00:00,1.2,-0.5,0.1,92.75,0.0,0,0,0.0,11.2,28.0,5.5,88.9,Partially cloudy,partly-cloudy-day
34,2023-03-02T10:00:00,2.9,-1.1,0.8,86.27,0.0,0,0,0.0,24.1,250.0,16.5,88.5,Partially cloudy,partly-cloudy-day
35,2023-03-02T11:00:00,4.2,-0.2,2.0,85.86,0.0,0,0,0.0,45.7,250.0,22.1,88.1,Partially cloudy,partly-cloudy-day
36,2023-03-02T12:00:00,5.2,0.4,1.1,74.71,0.0,0,0,0.0,51.1,260.0,29.2,88.1,Partially cloudy,partly-cloudy-day
37,2023-03-02T13:00:00,6.9,2.8,-0.1,60.9,0.0,0,0,0.0,49.3,240.0,27.6,83.7,Partially cloudy,partly-cloudy-day
38,2023-03-02T14:00:00,8.1,3.9,-0.9,52.81,0.0,0,0,0.0,49.3,240.0,33.1,88.1,Partially cloudy,partly-cloudy-day
39,2023-03-02T15:00:00,4.2,0.8,-0.9,69.65,0.0,0,0,0.0,50.0,300.0,14.8,88.4,Partially cloudy,partly-cloudy-day
40,2023-03-02T16:00:00,5.2,1.5,-1.0,64.39,0.0,0,0,0.0,48.2,259.0,18.5,88.5,Partially cloudy,partly-cloudy-day
41,2023-03-02T17:00:00,3.2,-2.4,0.1,79.92,0.0,0,0,0.0,50.0,299.0,31.2,88.1,Partially cloudy,partly-cloudy-day
42,2023-03-02T18:00:00,3.2,0.7,1.0,85.69,0.0,0,0,0.0,45.7,3.0,9.3,50.0,Partially cloudy,partly-cloudy-day
43,2023-03-02T19:00:00,2.1,2.1,0.8,91.08,0.634,100,0,0.0,26.3,271.0,3.7,54.7,"Rain, Partially cloudy",rain
44,2023-03-02T20:00:00,2.2,-0.5,-4.9,59.72,0.0,0,0,0.0,24.8,298.0,9.3,27.6,Partially cloudy,partly-cloudy-night
45,2023-03-02T21:00:00,0.2,-3.0,-3.9,74.14,0.0,0,0,0.0,21.6,240.0,9.7,27.6,Partially cloudy,partly-cloudy-night
46,2023-03-02T22:00:00,1.2,-2.9,-3.0,73.38,0.0,0,0,0.0,23.8,289.0,14.8,32.4,Partially cloudy,partly-cloudy-night
47,2023-03-02T23:00:00,1.1,-4.8,-2.9,74.69,0.0,0,0,0.0,28.8,270.0,27.7,50.2,Partially cloudy,partly-cloudy-night
48,2023-03-03T00:00:00,0.0,-4.7,-1.0,92.86,0.0,0,0,0.0,29.2,260.0,16.5,50.0,Partially cloudy,partly-cloudy-night
49,2023-03-03T01:00:00,0.1,0.1,0.0,99.5,0.0,0,0,0.0,24.5,261.6,14.0,50.4,Partially cloudy,partly-cloudy-night
50,2023-03-03T02:00:00,0.1,-5.4,0.0,99.5,0.0,0,0,0.0,23.8,270.0,22.2,50.4,Partially cloudy,partly-cloudy-night
51,2023-03-03T03:00:00,0.1,-3.5,0.0,99.5,0.0,0,0,0.0,23.4,270.0,11.4,50.4,Partially cloudy,partly-cloudy-night
52,2023-03-03T04:00:00,0.1,0.1,0.1,99.71,0.0,0,0,0.0,22.3,263.4,11.2,87.7,Partially cloudy,partly-cloudy-night
53,2023-03-03T05:00:00,0.1,-3.1,0.0,99.59,0.0,0,0,0.0,18.7,230.0,9.6,87.7,Partially cloudy,partly-cloudy-night
54,2023-03-03T06:00:00,0.1,-5.2,0.0,99.59,0.0,0,0,0.0,18.7,260.0,20.5,87.7,Partially cloudy,partly-cloudy-night
55,2023-03-03T07:00:00,0.2,-3.2,-0.3,96.44,0.0,0,0,0.1,18.0,257.2,10.4,77.6,Partially cloudy,partly-cloudy-night
56,2023-03-03T08:00:00,0.7,-2.5,0.0,95.06,0.0,0,0,0.0,18.4,262.5,10.1,70.6,Partially cloudy,partly-cloudy-day
57,2023-03-03T09:00:00,2.3,-1.7,-0.1,84.15,0.0,0,0,0.0,27.0,298.1,15.5,89.3,Partially cloudy,partly-cloudy-day
58,2023-03-03T10:00:00,2.8,-0.9,1.6,91.91,0.0,0,0,0.0,35.6,298.0,14.8,79.8,Partially cloudy,partly-cloudy-day
59,2023-03-03T11:00:00,5.4,1.3,-1.3,62.0,0.0,0,0,0.0,39.2,316.9,22.0,96.6,Overcast,cloudy
60,2023-03-03T12:00:00,6.2,2.6,-1.2,59.09,0.0,0,0,0.0,38.2,313.6,19.8,85.6,Partially cloudy,partly-cloudy-day
61,2023-03-03T13:00:00,5.3,1.0,-0.5,66.56,0.015,100,0,0.0,34.6,298.0,23.9,51.3,"Rain, Partially cloudy",rain
62,2023-03-03T14:00:00,7.2,4.0,-0.7,57.22,0.0,0,0,0.0,34.6,309.7,18.0,79.8,Partially cloudy,partly-cloudy-day
63,2023-03-03T15:00:00,7.4,4.4,-0.6,56.86,0.0,0,0,0.0,32.0,306.9,16.9,93.5,Overcast,cloudy
64,2023-03-03T16:00:00,5.0,0.9,-0.7,66.38,0.0,0,0,0.0,31.0,289.0,21.9,60.4,Partially cloudy,partly-cloudy-day
65,2023-03-03T17:00:00,6.6,3.6,0.2,63.66,0.0,0,0,0.0,31.3,309.7,15.8,53.0,Partially cloudy,partly-cloudy-day
66,2023-03-03T18:00:00,5.6,2.8,0.2,68.21,0.0,0,0,0.0,28.1,319.8,13.0,41.2,Partially cloudy,partly-cloudy-day
67,2023-03-03T19:00:00,4.5,2.7,-1.2,66.37,0.104,100,0,0.0,12.2,307.0,7.5,60.1,"Rain, Partially cloudy",rain
68,2023-03-03T20:00:00,2.8,2.8,0.4,84.21,0.0,0,0,0.0,12.6,314.1,4.7,0.0,Clear,clear-night
69,2023-03-03T21:00:00,1.8,1.8,0.2,89.13,0.0,0,0,0.0,7.9,301.4,4.3,0.0,Clear,clear-night
70,2023-03-03T22:00:00,2.8,0.7,-0.7,77.48,0.0,0,0,0.0,7.6,260.0,7.7,30.9,Partially cloudy,partly-cloudy-night
71,2023-03-03T23:00:00,0.5,0.5,-0.5,93.0,0.0,0,0,0.0,7.6,282.5,4.3,24.8,Partially cloudy,partly-cloudy-night
